Date,Amount,From Account,To Account,Reference Number
11/04/2022,5000.0,11111.0,11113,tfr-497
12/04/2022,5000.0,11111.0,19001,tfr-498
12/04/2022,3000.0,11111.0,11113,tfr-499
13/04/2022,7500.0,11111.0,19001,tfr-500
14/04/2022,25671.7,11111.0,11815,tfr-501
14/04/2022,7500.0,11111.0,19001,tfr-502
14/04/2022,5000.0,11111.0,21002,tfr-503
14/04/2022,5000.0,11111.0,11113,tfr-504
14/04/2022,4343.3,11111.0,11815,tfr-505
14/04/2022,4000.0,11111.0,11113,tfr-506
14/04/2022,2000.0,11111.0,11113,tfr-507
14/04/2022,2000.0,11111.0,21002,tfr-508
14/04/2022,2000.0,11111.0,21002,tfr-509
19/04/2022,1500.0,11111.0,21002,tfr-510
19/04/2022,1000.0,11111.0,11113,tfr-511
19/04/2022,1750.0,11111.0,19001,tfr-512
20/04/2022,7000.0,11111.0,11113,tfr-513
20/04/2022,2000.0,11111.0,11113,tfr-514
20/04/2022,1000.0,11111.0,11113,tfr-515
21/04/2022,8250.0,11111.0,11112,tfr-516
21/04/2022,2000.0,11111.0,11113,tfr-517
21/04/2022,1000.0,11111.0,11113,tfr-518
22/04/2022,4000.0,11111.0,11113,tfr-519
22/04/2022,3000.0,11111.0,11113,tfr-520
22/04/2022,1000.0,11111.0,11113,tfr-521
26/04/2022,6000.0,11111.0,11113,tfr-522
26/04/2022,1750.0,11111.0,19001,tfr-523
27/04/2022,5000.0,11111.0,21002,tfr-524
27/04/2022,4000.0,11111.0,21002,tfr-525
28/04/2022,5000.0,11111.0,21002,tfr-526
28/04/2022,2000.0,11111.0,21002,tfr-527
29/04/2022,1000.0,11111.0,21002,tfr-528
02/05/2022,1750.0,11111.0,19001,tfr-529
02/05/2022,26485.7,11111.0,11815,tfr-530
02/05/2022,4790.3,11111.0,11815,tfr-531
02/05/2022,1000.0,11111.0,21002,tfr-532
03/05/2022,2000.0,11111.0,11113,tfr-533
03/05/2022,2000.0,11111.0,11113,tfr-534
04/05/2022,1000.0,11111.0,11113,tfr-535
05/05/2022,3000.0,11111.0,21002,tfr-536
