*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
iPRO Group Pty Ltd,,,,,,,,,,4216.0,,20/06/2024,20/06/2024,,,Induction monthly subscription,1,45,,60101.0,GST on Expenses,4.5,Job,,,,,
Seek Limited,,,,,,,,,,4221.0,,20/06/2024,20/06/2024,,,Advertising to hire a new technician,1,875,,60018.0,GST on Expenses,87.5,Job,,,,,
Vodafone Pty Limited,,,,,,,,,,4222.0,,20/06/2024,20/06/2024,,,Telephone bill. (Credit card statement is showing $880.37). Internet Sydney apartment $64.99,1,800.34,,61004.0,GST on Expenses,80.03,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Corporate travel insurance premium GST charged,1,510.1,,61401.0,GST on Expenses,51.01,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Preimum GST no charged,1,"3,430.77",,61401.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Credit card surcharge,1,62.92,,61401.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Stamp duty,1,76.88,,61403.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Underwriter fee,1,50,,61404.0,BAS Excluded,0.00,Job,,,,,
Regional Insurance Broker (RIBSQ Pty Ltd),,,,,,,,,,4224.0,,21/06/2024,21/06/2024,,,Broker fee,1,69.31,,61405.0,GST on Expenses,6.93,Job,,,,,
Apple Pty Ltd,,,,,,,,,,4268.0,,21/06/2024,21/06/2024,,,Apple developer program,1,135.45,,61005.0,GST on Expenses,13.55,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,Software 2024  NZ domain ,1,450,,61001.0,GST on Expenses,45,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,Labour off site- NZ website,1,"2,000",,61001.0,GST on Expenses,200,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,ESET Smart renewal,1,630,,61001.0,GST on Expenses,63,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,"Hardware, TP link archer dual band WiFi 6 router",1,500,,61001.0,GST on Expenses,50,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,"Labour onsite, cloud back up integrity check, ",1,400,,61001.0,GST on Expenses,40,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,"Labour off site UAE domain, website, hosting, Carl's lap top",1,250,,61001.0,GST on Expenses,25,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,"Labour onsite, Joel computer and laptop check for virus and hack after email disappearance from inbox",1,300,,61001.0,GST on Expenses,30,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4225.0,,23/06/2024,23/06/2024,,,Credit card surcharge,1,99.66,,61001.0,BAS Excluded,0.00,Job,,,,,
