Date,Bank,Reference,Amount,Invoice No,Exchange
15/12/2023,21100,CR007114-178,10604.87,10672,
4/9/2023,21100,CR007060-179,10670.0,10615,
12/12/2022,21100,CR006919-180,10927.73,10459,
4/11/2024,21100,CR007363-181,11000.0,10835,
17/12/2024,11111,CR007391-182,11001.8,10913,
9/9/2024,11111,CR007307-183,11057.98,10808,
28/7/2023,11111,CR007043-184,11093.89,10562,
6/2/2024,11111,CR007148-185,11101.56,10681,
7/1/2025,21100,CR007404-186,11107.25,10906,
16/11/2022,21100,CR006902-187,3514.5,10457,
16/11/2022,21100,CR006902-188,7800.38,10451,
1/8/2024,21100,CR007279-189,11401.5,10804,
16/11/2023,21100,CR007095-190,11440.0,10646,
8/4/2025,21100,CR007476-191,11440.0,10984,
1/9/2023,21100,CR007056-192,11454.16,10596,
16/8/2022,11170,CR006824-193,8487.88,10384,
16/8/2022,11170,CR006824-194,2997.5,10357,
13/12/2023,11111,CR007113-195,441.82,10664,
13/12/2023,11111,CR007113-196,2308.0,10665,
13/12/2023,11111,CR007113-197,8757.42,10663,
8/12/2022,11111,CR006915-198,500.66,10487,
8/12/2022,11111,CR006915-199,2308.0,10488,
8/12/2022,11111,CR006915-200,8757.42,10486,
16/11/2022,21100,CR006900-201,11616.0,10479,
10/12/2024,21100,CR007386-202,11756.25,10893,
16/10/2023,11111,CR007072-203,4320.0,10631,
16/10/2023,11111,CR007072-204,7472.14,10601,
25/10/2024,11112,CR007451-205,11840.0,10963,
13/9/2024,11111,CR007314-206,11880.0,10817,
11/4/2023,11111,CR006989-207,11906.53,10536,
21/1/2025,21100,CR007418-208,12397.0,10921,
10/1/2025,11111,CR007406-209,431.08,10926,
10/1/2025,11111,CR007406-210,2180.88,10928,
10/1/2025,11111,CR007406-211,9814.35,10925,
26/8/2022,21100,CR006836-212,12430.0,10410,
1/12/2023,21100,CR007107-213,12462.65,10658,
4/12/2024,21100,CR007381-214,12576.41,10884,
25/3/2024,11111,CR007177-215,618.34,10713,
25/3/2024,11111,CR007177-216,3231.2,10714,
25/3/2024,11111,CR007177-217,8757.42,10712,
13/7/2022,21100,CR006791-218,12727.0,10345,
2/7/2024,21100,CR007256-219,12914.0,10770,
27/11/2024,11111,CR007374-220,13065.72,10881,
18/9/2023,21100,CR007067-221,2988.7,10613,
18/9/2023,21100,CR007067-222,3329.7,10614,
18/9/2023,21100,CR007067-223,6762.89,10612,
19/8/2022,21100,CR006828-224,13090.0,10402,
9/12/2022,21100,CR006917-225,13090.0,10484,
23/11/2022,21100,CR006906-226,13146.5,10472,
10/11/2023,21100,CR007091-227,13200.0,10582,
2/1/2024,21100,CR007126-228,13200.0,10678,
23/1/2024,21100,CR007136-229,13365.0,10676,
21/12/2023,21100,CR007119-230,13386.16,10661,
20/6/2024,21100,CR007240-231,13695.0,10772,
11/1/2023,11111,CR006939-232,2295.27,10502,
11/1/2023,11111,CR006939-233,2308.0,10501,
11/1/2023,11111,CR006939-234,441.82,10500,
11/1/2023,11111,CR006939-235,8757.42,10499,
4/7/2023,21100,CR007024-236,13838.0,10570,
23/12/2022,11111,CR006929-237,14067.25,10494,
4/9/2023,11111,CR007061-238,471.24,10604,
4/9/2023,11111,CR007061-239,4846.8,10605,
4/9/2023,11111,CR007061-240,8757.42,10603,
2/5/2024,21100,CR007204-241,8602.0,10720,
2/5/2024,21100,CR007204-242,5940.0,10718,
7/3/2025,11111,CR007458-243,515.17,10973,
7/3/2025,11111,CR007458-244,4361.76,10974,
7/3/2025,11111,CR007458-245,9814.35,10972,
12/8/2024,11111,CR007287-246,548.8,10822,
12/8/2024,11111,CR007287-247,4361.76,10823,
12/8/2024,11111,CR007287-248,9814.35,10821,
20/1/2025,21100,CR007414-249,14727.79,10894,
2/1/2024,21100,CR007125-250,14850.0,10666,
17/1/2025,21100,CR007411-251,14927.59,10915,
4/9/2023,11111,CR007062-252,15222.65,10616,
28/10/2024,11111,CR007353-253,397.45,10866,
28/10/2024,11111,CR007353-254,5088.72,10867,
28/10/2024,11111,CR007353-255,9814.35,10865,
22/11/2022,21100,CR006905-256,15840.0,10478,
2/2/2023,21100,CR006951-257,15840.0,10481,
3/9/2024,21100,CR007300-258,9740.5,10812,
3/9/2024,21100,CR007300-259,6704.5,10806,
17/7/2023,21100,CR007032-260,4513.85,10573,
17/7/2023,21100,CR007032-261,2984.3,10574,
17/7/2023,21100,CR007032-262,8948.5,10571,
13/2/2024,21100,CR007150-263,16500.0,10693,
16/4/2024,21100,CR007191-264,7288.88,10709,
16/4/2024,21100,CR007191-265,9405.0,10708,
13/3/2023,21100,CR006973-266,16744.19,10524,
17/12/2024,11111,CR007392-267,431.08,10911,
17/12/2024,11111,CR007392-268,6542.64,10912,
17/12/2024,11111,CR007392-269,9814.35,10910,
17/10/2022,21100,CR006876-270,9240.0,10427,
17/10/2022,21100,CR006876-271,7623.0,10401,
23/9/2024,21100,CR007323-272,16916.9,10839,
27/11/2023,21100,CR007102-273,17077.5,10656,
19/7/2024,21100,CR007268-274,17160.0,10754,
3/7/2023,21100,CR007020-275,17424.0,10554,
6/7/2022,11111,CR006783-276,17455.23,10364,
2/8/2022,21100,CR006813-277,17572.5,10377,
4/10/2022,21100,CR006866-278,7040.0,10437,
4/10/2022,21100,CR006866-279,10549.0,10436,
10/1/2024,11111,CR007134-280,923.2,10685,
10/1/2024,11111,CR007134-281,441.82,10684,
10/1/2024,11111,CR007134-282,8757.42,10683,
10/1/2024,11111,CR007134-283,7473.71,10674,
11/11/2022,21100,CR006894-284,17600.0,10425,
19/2/2025,11111,CR007438-285,531.99,10950,
19/2/2025,11111,CR007438-286,7269.6,10951,
19/2/2025,11111,CR007438-287,9814.35,10949,
14/6/2024,11111,CR007237-288,565.62,10762,
14/6/2024,11111,CR007237-289,7269.6,10763,
14/6/2024,11111,CR007237-290,9814.35,10761,
22/4/2024,21100,CR007194-291,18232.5,10734,
2/7/2024,21100,CR007254-292,18260.0,10766,
4/7/2022,21100,CR006779-293,2464.0,10359,
4/7/2022,21100,CR006779-294,15851.0,10358,
24/10/2023,21100,CR007080-295,18480.0,10637,
1/3/2024,21100,CR007158-296,18480.0,10690,
29/3/2024,21100,CR007180-297,18480.0,10706,
24/7/2024,21100,CR007272-298,18480.0,10796,
14/11/2022,11111,CR006898-299,706.6,10467,
14/11/2022,11111,CR006898-300,9167.94,10468,
14/11/2022,11111,CR006898-301,8757.42,10466,
4/11/2024,21100,CR007362-302,9075.0,10858,
4/11/2024,21100,CR007362-303,9790.0,10852,
30/1/2024,11111,CR007143-304,19008.0,10687,
23/12/2024,21100,CR007395-305,19244.78,10905,
10/2/2025,21100,CR007430-306,19606.91,10916,
21/4/2023,21100,CR006992-307,19800.0,10550,
8/11/2024,11111,CR007367-308,3634.8,10889,
8/11/2024,11111,CR007367-309,464.72,10888,
8/11/2024,11111,CR007367-310,9814.35,10887,
8/11/2024,11111,CR007367-311,6000.0,10855,
18/7/2022,21100,CR006796-312,2984.3,10335,
18/7/2022,21100,CR006796-313,2982.1,10336,
18/7/2022,21100,CR006796-314,8089.12,10347,
18/7/2022,21100,CR006796-315,3351.7,10334,
18/7/2022,21100,CR006796-316,2988.7,10333,
2/8/2024,21100,CR007280-317,9740.5,10771,
2/8/2024,21100,CR007280-318,10752.5,10768,
22/4/2024,21100,CR007193-319,20771.19,10705,
6/3/2025,21100,CR007454-320,5060.0,10938,
6/3/2025,21100,CR007454-321,15156.94,10944,
6/3/2025,21100,CR007454-322,569.25,10894,
20/3/2024,11111,CR007175-323,20947.19,10719,
29/9/2022,11111,CR006859-324,772.2,10413,
29/9/2022,11111,CR006859-325,20276.92,10403,
16/1/2023,11111,CR006940-326,21190.95,10497,
4/4/2025,21100,CR007472-327,21505.0,10976,
25/2/2025,21100,CR007442-328,21595.2,10945,
31/1/2023,21100,CR006945-329,21890.0,10496,
14/3/2025,21100,CR007461-330,22880.0,10953,
16/8/2023,21100,CR007051-331,7992.19,10595,
16/8/2023,21100,CR007051-332,2999.7,10593,
