Item Number,Item Name,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
38-CNC-LS3-Chamb-SC,LS3 Super Charger Chamber,,,41113,,CNC LS3 Chambers for Forced Induction,330.00,,GST,X,0,1,0,0,0,0,0,330,1100,1100,1100,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,,,
16-RB30-Vlv-Stem-Seal-EX,RB30-Vlv-Stem-Seal-EX,,,41112,51111,XPA079 RB30-Vlv-Stem-Seal-EX,3.00,1,GST,X,0,1,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
26-RB26-Motec-Plug,GM Cas Sensor Plug 3 wire,,,,51130,GM Cas Sensor Plug 3 wire,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£16.50,,
18-SBF-Cometic-Head-Gasket,CMC5485-051 Cometic Fits Ford ,,,41112,51111,"CMC5485-051 Cometic Fits Ford SB 302/351W V8 4.200"" Bore MLS Head Gasket . SVO .051""",228.00,1,GST,X,0,1,0,0,0,0,0,228,327.25,327.25,327.25,327.25,327.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£170.01,,
82-M4x6mm-SHCS-Zinc,M4x6mm-SHCS-Zinc,,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
82-Washer-4mm-Zinc,Washer-4mm-Zinc,,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
82-Key-Steel-5/16,Key-Steel-5/16,,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
82-M12-1.5x100mmPlain-Hex-Bolt,M12-1.5x100mmPlain-Hex-Bolt,,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
"82-UNC-7/16x4""-SHCS-Zinc","UNC-7/16x4""-SHCS-Zinc",,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
"82-UNC-7/16x1 1/2""-SHCS-Zinc","UNC-7/16x1 1/2""-SHCS-Zinc",,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
"82-UNC-7/16x2 1/2""-SHCS-Zinc","UNC-7/16x2 1/2""-SHCS-Zinc",,,,51120,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
14-SR20-Lifter,RHT6200 Nissan SR20DE Lifter,,,41112,51111,RHT6200 Nissan SR20DE Lifter,15.00,1,GST,X,0,1,0,0,0,0,0,15,45,45,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£11.00,,
16-RB26-Cam-Cover-Collar,NI-13526-16A01 Collar Front Co,,,41112,51111,NI-13526-16A01 Collar Front Cover,0.00,1,GST,X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£0.00,,
